#  lambda[Å] A_ki[s⁻¹] loggf   Acc  Ei[cm⁻¹]   Ek[cm⁻¹]  cfg_i                term_i     cfg_k                  term_k   gi  gk rtype ref1          ref2
  2003.02998   None    None   None   704.007  50628.372  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   n7P*       5  7  None None           L11631  
  2004.25431   None    None   None  7728.060  57621.928  3d7.(4F).4s           a5F       3d6.4s.(6D<3/2>).4f    2[9/2]*   7  9  None None        L11631c80  
  2004.37973   None    None   None  7728.060  57618.806  3d7.(4F).4s           a5F       3d6.4s.(6D<3/2>).4f    2[3/2]*   7  5  None None        L11631c81 
  2004.51850   None    None   None   415.933  50303.225  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   n7F*       7  9  None None           L11631  
  2005.94743   None    None   None   704.007  50555.762  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   n7F*       5  5  None None        L11631c80  
  2006.24130   None    None   None  7728.060  57572.513  3d7.(4F).4s           a5F       3d6.4s.(6D).6p         5F*       7  5  None None        L11631c80  
  2006.89428   None    None   None  6928.268  56756.503  3d7.(4F).4s           a5F       3d6.4s.(6D<9/2>).4f    2[13/2]* 11  13 None None           L11631  
  2006.88619   None    None   None  6928.268  56756.704  3d7.(4F).4s           a5F       3d6.4s.(6D).6p         7F*      11  9  None None        L11631c80 
  2006.96586   None    None   None  6928.268  56754.726  3d7.(4F).4s           a5F       3d6.4s.(6D<9/2>).4f    2[9/2]*  11  11 None None        L11631c80  
  2007.11196   None    None   None  6928.268  56751.099  3d7.(4F).4s           a5F       3d6.4s.(6D<9/2>).4f    2[11/2]* 11  11 None None        L11631c80  
  2007.82018   None    None   None     0.000  49805.257  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   n7D*       9  7  None None        L11631c80  
  2007.86815   None    None   None  6928.268  56732.335  3d7.(4F).4s           a5F       3d6.4s.(6D).6p         5D*      11  9  None None           L11631  
  2008.87860   None    None   None  6928.268  56707.284  3d7.(4F).4s           a5F       3d6.4s.(6D).6p         5F*      11  11 None None        L11631c80 
  2009.12391   None    None   None  7376.764  57149.702  3d7.(4F).4s           a5F       3d6.4s.(6D<7/2>).4f    2[7/2]*   9  7  None None        L11631c81  
  2009.14769   None    None   None  7376.764  57149.113  3d7.(4F).4s           a5F       3d6.4s.(6D<7/2>).4f    2[7/2]*   9  9  None None        L11631c80  
  2009.20134   None    None   None  7376.764  57147.784  3d7.(4F).4s           a5F       3d6.4s.(6D<7/2>).4f    2[11/2]*  9  11 None None        L11631c80  
