 #lambda[Å] A_ki[s⁻¹]   loggf   Acc  Ei[cm⁻¹] Ek[cm⁻¹]   cfg_i             term_i   cfg_k               term_k    gi  gk rtype  ref1   ref2
  3259.655  2.53e+07   -0.696 None  186383.8  217061.9   3p5.4p             3D      3p5.4d             3F*         7  5  None  T8304   L3490
  3291.585  4.72e+08    0.584 None  186681.4  217061.9   3p5.4p             3D      3p5.4d             3F*         5  5  None  T8304   L3490
  3302.488  9.17e+06   -1.824 None  164492.0  194772.2   3p5.3d             3P*     3p5.4p             1S          3  1  None  T8304   L3490
  3338.609  4.78e+05   -2.399 None  189239.5  219192.1   3p5.4p             1P      3p5.4d             3D*         3  5  None  T8304   L3490
  3357.451  5.88e+07   -0.526 None  183204.1  212988.6   3p5.4p             3S      3p5.(2P*<3/2>).5s  2[3/2]*     3  3  None  T8304   L3490
  3381.58   1.59e+09    1.281 None  188150.3  217722.3   3p5.4p             1D      3p5.4d             3D*         5  7  None  T8304   L3490
  3385.82   1.10e+09    0.976 None  187527.0  217061.9   3p5.4p             3D      3p5.4d             3F*         3  5  None  T8304  L12188
  3385.85   5.25e+07   -0.346 None  189657.4  219192.1   3p5.4p             3P      3p5.4d             3D*         5  5  None  T8304  L12188
  3393.546  3.72e+07   -0.493 None  186383.8  215851.5   3p5.4p             3D      3p5.4d             3P*         7  5  None  T8304   L3490
  3405.171  2.20e+08    0.282 None  183204.1  212571.2   3p5.4p             3S      3p5.(2P*<3/2>).5s  2[3/2]*     3  5  None  T8304   L3490
  3428.168  1.72e+07   -0.820 None  186681.4  215851.5   3p5.4p             3D      3p5.4d             3P*         5  5  None  T8304   L3490
  3440.99   1.12e+09    0.997 None  190130.7  219192.1   3p5.4p             3P      3p5.4d             3D*         3  5  None  T8304   L3490
  3458.82   8.91e+06   -1.097 None  188150.3  217061.9   3p5.4p             1D      3p5.4d             3F*         5  5  None  T8304   L3490
  3529.429  2.39e+07   -0.873 None  186681.4  215014.6   3p5.4p             3D      3p5.(2P*<1/2>).5s  2[1/2]*     5  3  None  T8304   L3490
  3530.513  3.13e+07   -0.534 None  187527.0  215851.5   3p5.4p             3D      3p5.4d             3P*         3  5  None  T8304   L3490
  3531.709  2.26e+08   -0.374 None  166457.3  194772.2   3p5.4s             1P*     3p5.4p             1S          3  1  None  T8304   L3490
  3563.17   6.49e+07   -0.063 None  189657.4  217722.3   3p5.4p             3P      3p5.4d             3D*         5  7  None  T8304   L3490
  3587.586  2.52e+07   -0.836 None  187527.0  215400.9   3p5.4p             3D      3p5.4d             3P*         3  3  None  T8304   L3490
  3594.23   3.46e+06   -1.475 None  189239.5  217061.9   3p5.4p             1P      3p5.4d             3F*         3  5  None  T8304   L3490
  3609.952  3.64e+08    0.551 None  188150.3  215851.5   3p5.4p             1D      3p5.4d             3P*         5  5  None  T8304   L3490
  3619.517  8.14e+07   -0.319 None  162502.7  190130.7   3p5.4s             3P*     3p5.4p             3P          5  3  None  T8304   L3490
  3627.48   5.38e+08    0.725 None  201957.6  229524.9   3p5.3d             1P*     3p5.(2P*<1/2>).4f  2[5/2]      3  5  None  T8304   L3490
  3638.004  7.62e+06   -1.343 None  187527.0  215014.6   3p5.4p             3D      3p5.(2P*<1/2>).5s  2[1/2]*     3  3  None  T8304   L3490
  3649.04   5.37e+05   -2.271 None  189657.4  217061.9   3p5.4p             3P      3p5.4d             3F*         5  5  None  T8304   L3490
  3669.644  3.67e+07   -0.653 None  188150.3  215400.9   3p5.4p             1D      3p5.4d             3P*         5  3  None  T8304   L3490
  3677.06   8.36e+07   -0.771 None  187527.0  214722.7   3p5.4p             3D      3p5.(2P*<1/2>).5s  2[1/2]*     3  1  None  T8304   L3490
  3682.604  1.56e+08    0.200 None  162502.7  189657.4   3p5.4s             3P*     3p5.4p             3P          5  5  None  T8304   L3490
