#E[cm⁻¹]     g  configuration         term  p  ref
134919.2     5  2s2.2p3.(2D*<5/2>).8d  3D*  o  NIST
134921       3  2s2.2p3.(2D*<5/2>).8d  1P*  o  NIST
134940       5  2s2.2p3.(2D*<3/2>).8d  1D*  o  NIST
134940       7  2s2.2p3.(2D*<3/2>).8d  1F*  o  NIST
134943.8     5  2s2.2p3.(2D*<3/2>).8d  3P*  o  NIST
134947.1     3  2s2.2p3.(2D*<3/2>).8d  3P*  o  NIST
135226.7     7  2s2.2p3.(2D*).10s      3D*  o  NIST
135226.7     5  2s2.2p3.(2D*).10s      3D*  o  NIST
135252       5  2s2.2p3.(2D*<3/2>).10s 1D*  o  NIST
135283.7     3  2s2.2p3.(2D*<3/2>).9d  3S*  o  NIST
135283.7     3  2s2.2p3.(2D*<5/2>).9d  3D*  o  NIST
135283.7     5  2s2.2p3.(2D*<5/2>).9d  3D*  o  NIST
135283.7     7  2s2.2p3.(2D*<5/2>).9d  3D*  o  NIST
135285       3  2s2.2p3.(2D*<5/2>).9d  1P*  o  NIST
135303.5     5  2s2.2p3.(2D*<3/2>).9d  3P*  o  NIST
135304       5  2s2.2p3.(2D*<3/2>).9d  1D*  o  NIST
135304       7  2s2.2p3.(2D*<3/2>).9d  1F*  o  NIST
135305.0     3  2s2.2p3.(2D*<3/2>).9d  3P*  o  NIST
135502.3     7  2s2.2p3.(2D*).11s      3D*  o  NIST
135541.7     3  2s2.2p3.(2D*<3/2>).10d 3S*  o  NIST
135541.7     7  2s2.2p3.(2D*<5/2>).10d 3D*  o  NIST
135541.7     5  2s2.2p3.(2D*<5/2>).10d 3D*  o  NIST
135541.7     3  2s2.2p3.(2D*<5/2>).10d 3D*  o  NIST
135542       3  2s2.2p3.(2D*<5/2>).10d 1P*  o  NIST
135560.3     5  2s2.2p3.(2D*<3/2>).10d 3P*  o  NIST
135562.2     3  2s2.2p3.(2D*<3/2>).10d 3P*  o  NIST
135565       5  2s2.2p3.(2D*<3/2>).10d 1D*  o  NIST
135565       7  2s2.2p3.(2D*<3/2>).10d 1F*  o  NIST
135681.7     5  2s2.2p3.(2P*).4s       3P*  o  NIST
135681.7     3  2s2.2p3.(2P*).4s       3P*  o  NIST
135681.7     1  2s2.2p3.(2P*).4s       3P*  o  NIST
135701.8     7  2s2.2p3.(2D*).12s      3D*  o  NIST
135723       5  2s2.2p3.(2D*<3/2>).12s 1D*  o  NIST
135732.4     3  2s2.2p3.(2D*<5/2>).11d 3D*  o  NIST
135732.4     3  2s2.2p3.(2D*<3/2>).11d 3S*  o  NIST
135732.4     7  2s2.2p3.(2D*<5/2>).11d 3D*  o  NIST
135732.4     5  2s2.2p3.(2D*<5/2>).11d 3D*  o  NIST
135736       3  2s2.2p3.(2D*<5/2>).11d 1P*  o  NIST
135751.7     3  2s2.2p3.(2D*<3/2>).11d 3P*  o  NIST
